defense	attack_position	accuracy
Vanilla	0	0.5500
Vanilla	24	0.4500
Vanilla	49	0.3300
AstuteRAG	0	0.4500
AstuteRAG	24	0.4200
AstuteRAG	49	0.3600
Sampling+MIS	0	0.6500
Sampling+MIS	24	0.7000
Sampling+MIS	49	0.6900
InstructRAG-ICL	0	0.5400
InstructRAG-ICL	24	0.4300
InstructRAG-ICL	49	0.3500
RobustRAG (Keyword)	0	0.5400
RobustRAG (Keyword)	24	0.5400
RobustRAG (Keyword)	49	0.5500
