gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.41,0.396,0.51,0.404
0.5,1,0.506,0.496,0.29,0.292
0.5,2,0.454,0.508,0.39,0.264
0.5,3,0.406,0.5,0.39,0.234
0.5,4,0.394,0.54,0.34,0.194
0.5,5,0.36,0.546,0.41,0.116
0.5,6,0.394,0.582,0.38,0.052
0.5,7,0.352,0.554,0.36,0.024
0.5,8,0.308,0.574,0.38,0.026
0.5,9,0.126,0.584,0.5,0.024
0.8,0,0.424,0.502,0.47,0.256
0.8,1,0.538,0.522,0.28,0.236
0.8,2,0.464,0.528,0.37,0.232
0.8,3,0.42,0.518,0.34,0.194
0.8,4,0.408,0.542,0.33,0.16
0.8,5,0.386,0.546,0.34,0.156
0.8,6,0.372,0.57,0.38,0.11
0.8,7,0.354,0.56,0.4,0.104
0.8,8,0.298,0.568,0.34,0.068
0.8,9,0.14,0.554,0.46,0.07
1.0,0,0.4,0.528,0.44,0.17
1.0,1,0.518,0.548,0.3,0.16
1.0,2,0.472,0.536,0.34,0.15
1.0,3,0.438,0.53,0.31,0.168
1.0,4,0.398,0.516,0.34,0.16
1.0,5,0.37,0.528,0.4,0.148
1.0,6,0.388,0.56,0.37,0.18
1.0,7,0.346,0.548,0.38,0.158
1.0,8,0.282,0.524,0.41,0.16
1.0,9,0.152,0.538,0.44,0.16
