gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.574,0.266,0.37,0.606
0.5,1,0.62,0.27,0.31,0.566
0.5,2,0.564,0.304,0.37,0.564
0.5,3,0.56,0.288,0.42,0.546
0.5,4,0.57,0.426,0.39,0.366
0.5,5,0.528,0.48,0.39,0.218
0.5,6,0.55,0.558,0.44,0.1
0.5,7,0.494,0.56,0.46,0.056
0.5,8,0.44,0.598,0.45,0.02
0.5,9,0.402,0.604,0.57,0.018
0.8,0,0.562,0.314,0.29,0.514
0.8,1,0.622,0.32,0.31,0.482
0.8,2,0.556,0.356,0.38,0.408
0.8,3,0.564,0.388,0.36,0.386
0.8,4,0.568,0.45,0.36,0.324
0.8,5,0.538,0.448,0.4,0.294
0.8,6,0.542,0.484,0.37,0.194
0.8,7,0.506,0.5,0.44,0.198
0.8,8,0.454,0.55,0.46,0.132
0.8,9,0.4,0.574,0.53,0.122
1.0,0,0.588,0.41,0.27,0.344
1.0,1,0.602,0.432,0.3,0.322
1.0,2,0.548,0.446,0.34,0.298
1.0,3,0.568,0.44,0.35,0.346
1.0,4,0.558,0.404,0.37,0.338
1.0,5,0.504,0.41,0.41,0.348
1.0,6,0.554,0.422,0.4,0.35
1.0,7,0.49,0.412,0.41,0.354
1.0,8,0.454,0.436,0.51,0.344
1.0,9,0.4,0.416,0.51,0.342
