gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.556,0.372,0.39,0.542
0.5,1,0.606,0.304,0.29,0.556
0.5,2,0.568,0.374,0.39,0.514
0.5,3,0.564,0.35,0.37,0.544
0.5,4,0.55,0.344,0.37,0.54
0.5,5,0.546,0.37,0.4,0.526
0.5,6,0.534,0.336,0.4,0.524
0.5,7,0.516,0.342,0.41,0.522
0.5,8,0.44,0.4,0.47,0.442
0.5,9,0.388,0.532,0.57,0.218
0.8,0,0.578,0.332,0.37,0.572
0.8,1,0.616,0.312,0.35,0.562
0.8,2,0.584,0.368,0.39,0.514
0.8,3,0.566,0.346,0.36,0.548
0.8,4,0.566,0.346,0.37,0.546
0.8,5,0.526,0.366,0.41,0.512
0.8,6,0.538,0.384,0.41,0.486
0.8,7,0.478,0.364,0.43,0.506
0.8,8,0.462,0.396,0.45,0.46
0.8,9,0.412,0.444,0.55,0.394
1.0,0,0.574,0.34,0.36,0.54
1.0,1,0.614,0.364,0.33,0.498
1.0,2,0.578,0.358,0.39,0.508
1.0,3,0.568,0.362,0.4,0.51
1.0,4,0.57,0.368,0.34,0.516
1.0,5,0.534,0.37,0.46,0.494
1.0,6,0.528,0.366,0.43,0.5
1.0,7,0.486,0.358,0.41,0.518
1.0,8,0.462,0.366,0.49,0.506
1.0,9,0.404,0.386,0.5,0.482
