gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.416,0.406,0.45,0.476
0.5,1,0.506,0.524,0.29,0.34
0.5,2,0.458,0.542,0.34,0.262
0.5,3,0.428,0.572,0.37,0.114
0.5,4,0.402,0.594,0.36,0.03
0.5,5,0.362,0.598,0.35,0.016
0.5,6,0.386,0.58,0.41,0.01
0.5,7,0.348,0.59,0.35,0.01
0.5,8,0.292,0.6,0.38,0.002
0.5,9,0.146,0.6,0.42,0.008
0.8,0,0.416,0.514,0.4,0.286
0.8,1,0.522,0.574,0.31,0.206
0.8,2,0.454,0.568,0.31,0.214
0.8,3,0.432,0.592,0.4,0.154
0.8,4,0.428,0.582,0.29,0.12
0.8,5,0.364,0.594,0.38,0.098
0.8,6,0.402,0.604,0.37,0.066
0.8,7,0.36,0.6,0.42,0.044
0.8,8,0.304,0.61,0.42,0.032
0.8,9,0.144,0.596,0.48,0.016
1.0,0,0.424,0.58,0.48,0.128
1.0,1,0.506,0.554,0.32,0.138
1.0,2,0.454,0.604,0.37,0.126
1.0,3,0.438,0.56,0.32,0.138
1.0,4,0.422,0.6,0.3,0.122
1.0,5,0.37,0.57,0.38,0.122
1.0,6,0.38,0.584,0.41,0.134
1.0,7,0.378,0.586,0.35,0.104
1.0,8,0.318,0.588,0.37,0.104
1.0,9,0.152,0.574,0.47,0.12
