gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.646,0.592,0,0
0.5,1,0.66,0.594,0,0
0.5,2,0.656,0.592,0,0
0.5,3,0.642,0.59,0,0
0.5,4,0.648,0.584,0,0
0.5,5,0.638,0.586,0,0
0.5,6,0.652,0.588,0,0
0.5,7,0.648,0.59,0,0
0.5,8,0.648,0.58,0,0
0.5,9,0.644,0.59,0,0
0.8,0,0.644,0.632,0,0
0.8,1,0.65,0.636,0,0
0.8,2,0.654,0.624,0,0
0.8,3,0.642,0.618,0,0
0.8,4,0.646,0.622,0,0
0.8,5,0.652,0.602,0,0
0.8,6,0.642,0.616,0,0
0.8,7,0.656,0.632,0,0
0.8,8,0.642,0.642,0,0
0.8,9,0.648,0.64,0,0
1.0,0,0.644,0.618,0,0
1.0,1,0.66,0.61,0,0
1.0,2,0.642,0.614,0,0
1.0,3,0.652,0.616,0,0
1.0,4,0.66,0.614,0,0
1.0,5,0.646,0.62,0,0
1.0,6,0.652,0.62,0,0
1.0,7,0.654,0.612,0,0
1.0,8,0.662,0.626,0,0
1.0,9,0.632,0.636,0,0
