gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.412,0.46,0.43,0.458
0.5,1,0.51,0.538,0.26,0.328
0.5,2,0.466,0.598,0.32,0.242
0.5,3,0.426,0.6,0.36,0.236
0.5,4,0.412,0.618,0.34,0.19
0.5,5,0.382,0.594,0.32,0.192
0.5,6,0.374,0.616,0.35,0.128
0.5,7,0.35,0.634,0.41,0.088
0.5,8,0.3,0.638,0.39,0.022
0.5,9,0.142,0.644,0.45,0.018
0.8,0,0.404,0.556,0.45,0.336
0.8,1,0.526,0.572,0.26,0.274
0.8,2,0.458,0.578,0.36,0.27
0.8,3,0.434,0.592,0.37,0.248
0.8,4,0.412,0.608,0.34,0.208
0.8,5,0.362,0.604,0.41,0.168
0.8,6,0.352,0.644,0.39,0.124
0.8,7,0.354,0.604,0.35,0.134
0.8,8,0.314,0.622,0.4,0.1
0.8,9,0.146,0.644,0.5,0.08
1.0,0,0.424,0.602,0.47,0.192
1.0,1,0.52,0.594,0.31,0.214
1.0,2,0.452,0.612,0.34,0.19
1.0,3,0.438,0.6,0.32,0.204
1.0,4,0.408,0.604,0.34,0.21
1.0,5,0.358,0.588,0.42,0.2
1.0,6,0.384,0.598,0.36,0.214
1.0,7,0.356,0.604,0.39,0.208
1.0,8,0.308,0.604,0.38,0.204
1.0,9,0.126,0.606,0.45,0.23
