gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.654,0.578,0,0
0.5,1,0.658,0.572,0,0
0.5,2,0.654,0.586,0,0
0.5,3,0.656,0.582,0,0
0.5,4,0.658,0.594,0,0
0.5,5,0.642,0.592,0,0
0.5,6,0.654,0.582,0,0
0.5,7,0.652,0.594,0,0
0.5,8,0.646,0.59,0,0
0.5,9,0.656,0.584,0,0
0.8,0,0.644,0.586,0,0
0.8,1,0.646,0.584,0,0
0.8,2,0.65,0.6,0,0
0.8,3,0.664,0.604,0,0
0.8,4,0.658,0.61,0,0
0.8,5,0.66,0.578,0,0
0.8,6,0.66,0.594,0,0
0.8,7,0.648,0.59,0,0
0.8,8,0.642,0.586,0,0
0.8,9,0.64,0.592,0,0
1.0,0,0.652,0.566,0,0
1.0,1,0.64,0.574,0,0
1.0,2,0.66,0.582,0,0
1.0,3,0.628,0.564,0,0
1.0,4,0.652,0.58,0,0
1.0,5,0.658,0.578,0,0
1.0,6,0.654,0.578,0,0
1.0,7,0.616,0.568,0,0
1.0,8,0.64,0.568,0,0
1.0,9,0.65,0.58,0,0
