gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
1.0,0,0.3528,0.1148,0.482,0.872
1.0,1,0.4088,0.2716,0.374,0.6432
1.0,2,0.3576,0.1492,0.468,0.8128
1.0,3,0.3164,0.1884,0.532,0.7528
1.0,4,0.2792,0.1964,0.546,0.7356
1.0,5,0.2476,0.2216,0.574,0.702
1.0,6,0.2448,0.2444,0.562,0.6784
1.0,7,0.2284,0.2348,0.588,0.6864
1.0,8,0.2152,0.2512,0.592,0.6604
1.0,9,0.1188,0.238,0.654,0.6536
