gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
1.0,0,0.544,0.214,0.33,0.524
1.0,1,0.614,0.374,0.31,0.314
1.0,2,0.594,0.384,0.44,0.376
1.0,3,0.556,0.374,0.36,0.378
1.0,4,0.576,0.328,0.4,0.408
1.0,5,0.542,0.34,0.46,0.396
1.0,6,0.544,0.362,0.38,0.34
1.0,7,0.502,0.332,0.39,0.352
1.0,8,0.456,0.316,0.45,0.364
1.0,9,0.412,0.284,0.59,0.416
