gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.424,0.434,0.45,0.432
0.5,1,0.514,0.5,0.31,0.32
0.5,2,0.448,0.532,0.38,0.246
0.5,3,0.424,0.544,0.38,0.09
0.5,4,0.414,0.578,0.34,0.032
0.5,5,0.372,0.582,0.41,0.014
0.5,6,0.386,0.586,0.35,0.006
0.5,7,0.362,0.568,0.38,0.008
0.5,8,0.324,0.558,0.38,0.008
0.5,9,0.138,0.582,0.54,0.004
0.8,0,0.416,0.488,0.49,0.274
0.8,1,0.506,0.546,0.3,0.188
0.8,2,0.462,0.544,0.34,0.176
0.8,3,0.45,0.588,0.33,0.124
0.8,4,0.422,0.556,0.32,0.098
0.8,5,0.374,0.57,0.37,0.054
0.8,6,0.378,0.588,0.4,0.056
0.8,7,0.358,0.582,0.39,0.048
0.8,8,0.316,0.56,0.4,0.044
0.8,9,0.15,0.572,0.47,0.034
1.0,0,0.402,0.536,0.44,0.14
1.0,1,0.526,0.554,0.27,0.106
1.0,2,0.44,0.564,0.39,0.098
1.0,3,0.432,0.566,0.39,0.12
1.0,4,0.39,0.558,0.35,0.102
1.0,5,0.364,0.534,0.36,0.142
1.0,6,0.38,0.562,0.39,0.148
1.0,7,0.356,0.538,0.42,0.102
1.0,8,0.3,0.544,0.4,0.142
1.0,9,0.144,0.582,0.5,0.13
