rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.49,0.06,0.49,0.06,3005023,76446,85.37,keyword,1.0,PIA,24,mistral7b,realtimeqa_sorted,100
1,0.5,0.06,0.5,0.06,3005023,76457,85.51,keyword,1.0,PIA,24,mistral7b,realtimeqa_sorted,100
2,0.49,0.06,0.5,0.06,3005014,76457,85.33,keyword,1.0,PIA,24,mistral7b,realtimeqa_sorted,100
3,0.49,0.06,0.49,0.06,3005023,76464,85.43,keyword,1.0,PIA,24,mistral7b,realtimeqa_sorted,100
4,0.49,0.06,0.49,0.06,3005023,76484,85.38,keyword,1.0,PIA,24,mistral7b,realtimeqa_sorted,100
