,gamma,rank,undefended_acc,defended_acc
0,0.8,0,0.705,0.625
1,0.8,1,0.705,0.645
2,0.8,2,0.69,0.63
3,0.8,3,0.705,0.615
4,0.8,4,0.69,0.63
5,0.8,5,0.71,0.61
6,0.8,6,0.69,0.635
7,0.8,7,0.705,0.625
8,0.8,8,0.69,0.63
9,0.8,9,0.695,0.635
10,1.0,0,0.7,0.615
11,1.0,1,0.7,0.62
12,1.0,2,0.715,0.625
13,1.0,3,0.71,0.625
14,1.0,4,0.7,0.635
15,1.0,5,0.705,0.64
16,1.0,6,0.705,0.62
17,1.0,7,0.7,0.62
18,1.0,8,0.695,0.63
19,1.0,9,0.7,0.62
