rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.402,0.242,0.386,0.272,1186400,254979,1914.41,astuterag,1.0,PIA,49,mistral7b,open_nq_sorted,500
1,0.39,0.238,0.372,0.272,1186316,255933,1910.53,astuterag,1.0,PIA,49,mistral7b,open_nq_sorted,500
2,0.398,0.238,0.388,0.272,1186316,255933,1883.13,astuterag,1.0,PIA,49,mistral7b,open_nq_sorted,500
3,0.398,0.238,0.378,0.272,1186316,255933,1881.56,astuterag,1.0,PIA,49,mistral7b,open_nq_sorted,500
