,gamma,rank,undefended_acc,defended_acc
0,0.8,0,0.686,0.56
1,0.8,1,0.688,0.582
2,0.8,2,0.688,0.572
3,0.8,3,0.68,0.58
4,0.8,4,0.694,0.596
5,0.8,5,0.698,0.59
6,0.8,6,0.696,0.55
7,0.8,7,0.694,0.572
8,0.8,8,0.684,0.576
9,0.8,9,0.69,0.576
10,1.0,0,0.69,0.566
11,1.0,1,0.704,0.556
12,1.0,2,0.7,0.54
13,1.0,3,0.68,0.558
14,1.0,4,0.688,0.562
15,1.0,5,0.694,0.566
16,1.0,6,0.7,0.564
17,1.0,7,0.686,0.558
18,1.0,8,0.69,0.548
19,1.0,9,0.688,0.558
