rep_idx,acc,asr,initial_acc,initial_asr,input_tokens,output_tokens,total_time_sec,defense_method,gamma,attack_method,attackpos,model_name,dataset_name,dataset_size
0,0.192,0.522,0.076,0.532,1427963,8000,150.4,instructrag_icl,1.0,PIA,49,mistral7b,open_nq_sorted,500
1,0.198,0.526,0.076,0.532,1427963,8000,150.07,instructrag_icl,1.0,PIA,49,mistral7b,open_nq_sorted,500
2,0.19,0.522,0.076,0.532,1427963,8000,150.18,instructrag_icl,1.0,PIA,49,mistral7b,open_nq_sorted,500
3,0.194,0.524,0.076,0.532,1427963,8000,150.12,instructrag_icl,1.0,PIA,49,mistral7b,open_nq_sorted,500
0,0.172,0.53,0.076,0.532,1427963,8000,161.96,instructrag_icl,1.0,PIA,49,mistral7b,open_nq_sorted,500

