gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.424,0.426,0.47,0.428
0.5,1,0.508,0.49,0.27,0.306
0.5,2,0.45,0.542,0.33,0.272
0.5,3,0.43,0.532,0.39,0.252
0.5,4,0.42,0.556,0.35,0.172
0.5,5,0.366,0.546,0.42,0.114
0.5,6,0.376,0.598,0.37,0.056
0.5,7,0.352,0.61,0.36,0.024
0.5,8,0.292,0.584,0.4,0.036
0.5,9,0.146,0.612,0.5,0.02
0.8,0,0.424,0.496,0.45,0.298
0.8,1,0.504,0.522,0.27,0.268
0.8,2,0.466,0.538,0.3,0.222
0.8,3,0.432,0.568,0.33,0.188
0.8,4,0.406,0.512,0.37,0.194
0.8,5,0.38,0.566,0.35,0.136
0.8,6,0.386,0.582,0.39,0.144
0.8,7,0.344,0.586,0.4,0.088
0.8,8,0.3,0.584,0.41,0.098
0.8,9,0.138,0.56,0.5,0.074
1.0,0,0.414,0.556,0.46,0.186
1.0,1,0.522,0.56,0.26,0.158
1.0,2,0.448,0.512,0.37,0.184
1.0,3,0.404,0.57,0.37,0.164
1.0,4,0.4,0.574,0.35,0.152
1.0,5,0.392,0.55,0.38,0.16
1.0,6,0.382,0.554,0.41,0.154
1.0,7,0.368,0.564,0.38,0.168
1.0,8,0.296,0.558,0.38,0.14
1.0,9,0.154,0.59,0.47,0.188
