gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.566,0.182,0.31,0.69
0.5,1,0.63,0.224,0.29,0.604
0.5,2,0.584,0.328,0.36,0.412
0.5,3,0.586,0.448,0.39,0.234
0.5,4,0.564,0.508,0.38,0.126
0.5,5,0.526,0.54,0.4,0.058
0.5,6,0.542,0.56,0.38,0.04
0.5,7,0.53,0.558,0.41,0.02
0.5,8,0.454,0.552,0.5,0.012
0.5,9,0.404,0.566,0.56,0.016
0.8,0,0.562,0.316,0.36,0.454
0.8,1,0.614,0.386,0.33,0.35
0.8,2,0.58,0.428,0.36,0.322
0.8,3,0.588,0.45,0.37,0.262
0.8,4,0.602,0.488,0.37,0.19
0.8,5,0.54,0.498,0.39,0.154
0.8,6,0.54,0.514,0.35,0.164
0.8,7,0.498,0.534,0.4,0.122
0.8,8,0.454,0.516,0.47,0.104
0.8,9,0.414,0.564,0.56,0.084
1.0,0,0.56,0.424,0.36,0.236
1.0,1,0.618,0.488,0.35,0.232
1.0,2,0.6,0.448,0.35,0.224
1.0,3,0.582,0.474,0.39,0.256
1.0,4,0.564,0.456,0.43,0.206
1.0,5,0.534,0.432,0.47,0.228
1.0,6,0.556,0.452,0.37,0.234
1.0,7,0.53,0.46,0.44,0.198
1.0,8,0.466,0.454,0.46,0.18
1.0,9,0.396,0.468,0.52,0.202
