,gamma,rank,undefended_acc,defended_acc
0,0.8,0,0.39,0.502
1,0.8,1,0.534,0.548
2,0.8,2,0.462,0.574
3,0.8,3,0.442,0.59
4,0.8,4,0.41,0.598
5,0.8,5,0.35,0.584
6,0.8,6,0.382,0.59
7,0.8,7,0.358,0.598
8,0.8,8,0.302,0.598
9,0.8,9,0.134,0.614
10,1.0,0,0.414,0.554
11,1.0,1,0.532,0.55
12,1.0,2,0.454,0.574
13,1.0,3,0.43,0.572
14,1.0,4,0.41,0.574
15,1.0,5,0.372,0.552
16,1.0,6,0.392,0.582
17,1.0,7,0.366,0.572
18,1.0,8,0.286,0.576
19,1.0,9,0.152,0.58
