gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.414,0.408,0.45,0.49
0.5,1,0.518,0.512,0.32,0.338
0.5,2,0.47,0.542,0.35,0.238
0.5,3,0.428,0.594,0.39,0.094
0.5,4,0.412,0.592,0.3,0.03
0.5,5,0.388,0.592,0.4,0.014
0.5,6,0.39,0.59,0.39,0.004
0.5,7,0.358,0.602,0.39,0.006
0.5,8,0.316,0.614,0.39,0.006
0.5,9,0.146,0.588,0.52,0.002
0.8,0,0.426,0.54,0.42,0.32
0.8,1,0.518,0.574,0.33,0.222
0.8,2,0.448,0.586,0.3,0.174
0.8,3,0.436,0.59,0.32,0.126
0.8,4,0.422,0.602,0.35,0.102
0.8,5,0.36,0.602,0.37,0.082
0.8,6,0.384,0.618,0.4,0.066
0.8,7,0.354,0.632,0.41,0.042
0.8,8,0.302,0.628,0.34,0.028
0.8,9,0.124,0.636,0.48,0.016
1.0,0,0.414,0.6,0.45,0.12
1.0,1,0.51,0.602,0.24,0.118
1.0,2,0.46,0.61,0.35,0.09
