,gamma,rank,undefended_acc,defended_acc
0,0.8,0,0.564,0.512
1,0.8,1,0.606,0.564
2,0.8,2,0.598,0.586
3,0.8,3,0.566,0.592
4,0.8,4,0.59,0.604
5,0.8,5,0.538,0.588
6,0.8,6,0.534,0.598
7,0.8,7,0.504,0.618
8,0.8,8,0.458,0.604
9,0.8,9,0.386,0.612
10,1.0,0,0.604,0.574
11,1.0,1,0.622,0.56
12,1.0,2,0.574,0.566
13,1.0,3,0.566,0.584
14,1.0,4,0.556,0.588
15,1.0,5,0.536,0.57
16,1.0,6,0.554,0.564
17,1.0,7,0.5,0.574
18,1.0,8,0.46,0.58
19,1.0,9,0.404,0.552
