gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.648,0.608,0,0
0.5,1,0.646,0.63,0,0
0.5,2,0.64,0.606,0,0
0.5,3,0.648,0.584,0,0
0.5,4,0.658,0.61,0,0
0.5,5,0.646,0.622,0,0
0.5,6,0.658,0.608,0,0
0.5,7,0.67,0.592,0,0
0.5,8,0.666,0.616,0,0
0.5,9,0.65,0.612,0,0
0.8,0,0.652,0.616,0,0
0.8,1,0.648,0.608,0,0
0.8,2,0.646,0.612,0,0
0.8,3,0.646,0.596,0,0
0.8,4,0.66,0.616,0,0
0.8,5,0.646,0.574,0,0
0.8,6,0.654,0.61,0,0
0.8,7,0.634,0.61,0,0
0.8,8,0.656,0.61,0,0
0.8,9,0.646,0.61,0,0
1.0,0,0.67,0.59,0,0
1.0,1,0.648,0.604,0,0
1.0,2,0.646,0.602,0,0
1.0,3,0.65,0.618,0,0
1.0,4,0.664,0.622,0,0
1.0,5,0.656,0.598,0,0
1.0,6,0.652,0.61,0,0
1.0,7,0.66,0.612,0,0
1.0,8,0.662,0.614,0,0
1.0,9,0.64,0.602,0,0
