gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.56,0.34,0.33,0.576
0.5,1,0.626,0.302,0.3,0.57
0.5,2,0.566,0.32,0.42,0.554
0.5,3,0.578,0.322,0.42,0.582
0.5,4,0.59,0.298,0.38,0.588
0.5,5,0.526,0.34,0.38,0.53
0.5,6,0.554,0.43,0.38,0.392
0.5,7,0.506,0.54,0.37,0.186
0.5,8,0.442,0.606,0.45,0.078
0.5,9,0.418,0.63,0.52,0.03
0.8,0,0.574,0.328,0.35,0.588
0.8,1,0.624,0.3,0.32,0.578
0.8,2,0.592,0.36,0.37,0.548
0.8,3,0.584,0.378,0.42,0.506
0.8,4,0.58,0.4,0.38,0.458
0.8,5,0.534,0.402,0.37,0.43
0.8,6,0.544,0.47,0.34,0.356
0.8,7,0.508,0.49,0.42,0.29
0.8,8,0.46,0.544,0.46,0.222
0.8,9,0.41,0.578,0.58,0.19
1.0,0,0.568,0.372,0.34,0.462
1.0,1,0.608,0.412,0.34,0.406
1.0,2,0.556,0.44,0.38,0.408
1.0,3,0.6,0.382,0.38,0.466
1.0,4,0.566,0.406,0.37,0.46
1.0,5,0.542,0.416,0.46,0.41
1.0,6,0.534,0.424,0.37,0.43
1.0,7,0.506,0.4,0.41,0.44
1.0,8,0.472,0.412,0.43,0.44
1.0,9,0.42,0.392,0.56,0.45
