,gamma,rank,undefended_acc,defended_acc
0,0.8,0,0.44,0.45
1,0.8,1,0.505,0.535
2,0.8,2,0.515,0.58
3,0.8,3,0.5,0.575
4,0.8,4,0.55,0.635
5,0.8,5,0.545,0.61
6,0.8,6,0.54,0.61
7,0.8,7,0.515,0.63
8,0.8,8,0.505,0.63
9,0.8,9,0.5,0.62
10,1.0,0,0.44,0.61
11,1.0,1,0.48,0.595
12,1.0,2,0.52,0.595
13,1.0,3,0.5,0.6
14,1.0,4,0.555,0.615
15,1.0,5,0.56,0.57
16,1.0,6,0.515,0.59
17,1.0,7,0.535,0.6
18,1.0,8,0.51,0.575
19,1.0,9,0.46,0.585
