gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.554,0.198,0.35,0.722
0.5,1,0.618,0.202,0.31,0.686
0.5,2,0.586,0.334,0.39,0.502
0.5,3,0.58,0.536,0.4,0.192
0.5,4,0.56,0.59,0.4,0.052
0.5,5,0.526,0.582,0.43,0.012
0.5,6,0.546,0.59,0.41,0.01
0.5,7,0.516,0.592,0.41,0.01
0.5,8,0.444,0.602,0.47,0.004
0.5,9,0.402,0.586,0.6,0.002
0.8,0,0.55,0.322,0.31,0.546
0.8,1,0.626,0.348,0.31,0.466
0.8,2,0.57,0.496,0.41,0.306
0.8,3,0.556,0.502,0.39,0.254
0.8,4,0.57,0.57,0.39,0.15
0.8,5,0.53,0.58,0.37,0.132
0.8,6,0.548,0.58,0.37,0.09
0.8,7,0.498,0.612,0.43,0.042
0.8,8,0.472,0.592,0.46,0.052
0.8,9,0.406,0.61,0.52,0.026
1.0,0,0.554,0.55,0.37,0.218
1.0,1,0.616,0.514,0.31,0.216
1.0,2,0.568,0.538,0.36,0.2
1.0,3,0.564,0.538,0.38,0.198
1.0,4,0.564,0.552,0.36,0.202
1.0,5,0.526,0.526,0.43,0.198
1.0,6,0.55,0.534,0.45,0.204
1.0,7,0.514,0.556,0.4,0.198
1.0,8,0.448,0.526,0.43,0.214
1.0,9,0.398,0.538,0.57,0.184
