gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
1.0,0,0.402,0.054,0.49,0.958
1.0,1,0.512,0.144,0.3,0.83
1.0,2,0.452,0.132,0.4,0.846
1.0,3,0.422,0.186,0.38,0.73
1.0,4,0.404,0.186,0.36,0.75
1.0,5,0.378,0.212,0.4,0.686
1.0,6,0.392,0.324,0.39,0.574
1.0,7,0.368,0.328,0.39,0.52
1.0,8,0.3,0.35,0.41,0.53
1.0,9,0.132,0.254,0.44,0.58
