gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.412,0.402,0.44,0.438
0.5,1,0.516,0.488,0.29,0.29
0.5,2,0.462,0.494,0.35,0.262
0.5,3,0.426,0.532,0.37,0.126
0.5,4,0.418,0.556,0.34,0.068
0.5,5,0.368,0.54,0.4,0.042
0.5,6,0.372,0.566,0.35,0.016
0.5,7,0.35,0.556,0.4,0.022
0.5,8,0.29,0.562,0.38,0.01
0.5,9,0.14,0.566,0.45,0.006
0.8,0,0.402,0.488,0.48,0.262
0.8,1,0.518,0.498,0.29,0.216
0.8,2,0.458,0.546,0.34,0.186
0.8,3,0.444,0.53,0.33,0.15
0.8,4,0.388,0.546,0.37,0.14
0.8,5,0.366,0.532,0.39,0.122
0.8,6,0.39,0.564,0.38,0.088
0.8,7,0.36,0.558,0.33,0.064
0.8,8,0.312,0.574,0.36,0.058
0.8,9,0.132,0.566,0.47,0.046
1.0,0,0.418,0.51,0.45,0.142
1.0,1,0.506,0.51,0.3,0.112
1.0,2,0.444,0.546,0.37,0.132
1.0,3,0.43,0.536,0.4,0.142
1.0,4,0.406,0.536,0.29,0.162
1.0,5,0.372,0.54,0.4,0.124
1.0,6,0.378,0.524,0.42,0.126
1.0,7,0.354,0.542,0.43,0.144
1.0,8,0.304,0.502,0.37,0.134
1.0,9,0.146,0.516,0.47,0.144
