,gamma,rank,undefended_acc,defended_acc
0,0.8,0,0.546,0.458
1,0.8,1,0.578,0.53
2,0.8,2,0.548,0.568
3,0.8,3,0.516,0.554
4,0.8,4,0.52,0.572
5,0.8,5,0.45,0.57
6,0.8,6,0.456,0.57
7,0.8,7,0.416,0.57
8,0.8,8,0.36,0.58
9,0.8,9,0.134,0.592
10,1.0,0,0.544,0.518
11,1.0,1,0.59,0.53
12,1.0,2,0.56,0.498
13,1.0,3,0.518,0.522
14,1.0,4,0.516,0.542
15,1.0,5,0.472,0.54
16,1.0,6,0.416,0.544
17,1.0,7,0.408,0.554
18,1.0,8,0.354,0.53
19,1.0,9,0.092,0.534
