,gamma,rank,undefended_acc,defended_acc
0,0.8,0,0.6,0.466
1,0.8,1,0.594,0.546
2,0.8,2,0.538,0.57
3,0.8,3,0.544,0.554
4,0.8,4,0.496,0.554
5,0.8,5,0.468,0.564
6,0.8,6,0.456,0.576
7,0.8,7,0.434,0.566
8,0.8,8,0.38,0.588
9,0.8,9,0.166,0.578
10,1.0,0,0.582,0.536
11,1.0,1,0.61,0.526
12,1.0,2,0.544,0.562
13,1.0,3,0.538,0.536
14,1.0,4,0.514,0.528
15,1.0,5,0.462,0.546
16,1.0,6,0.454,0.524
17,1.0,7,0.418,0.554
18,1.0,8,0.37,0.544
19,1.0,9,0.176,0.552
