gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.552,0.29,0.31,0.616
0.5,1,0.622,0.27,0.3,0.626
0.5,2,0.578,0.28,0.38,0.612
0.5,3,0.592,0.296,0.39,0.592
0.5,4,0.566,0.402,0.37,0.406
0.5,5,0.54,0.542,0.44,0.168
0.5,6,0.546,0.602,0.37,0.07
0.5,7,0.486,0.604,0.38,0.03
0.5,8,0.452,0.636,0.52,0.014
0.5,9,0.408,0.614,0.57,0.012
0.8,0,0.556,0.306,0.3,0.584
0.8,1,0.604,0.326,0.28,0.514
0.8,2,0.576,0.382,0.41,0.468
0.8,3,0.564,0.408,0.35,0.422
0.8,4,0.572,0.41,0.42,0.394
0.8,5,0.532,0.484,0.42,0.318
0.8,6,0.548,0.54,0.35,0.21
0.8,7,0.498,0.556,0.42,0.156
0.8,8,0.466,0.586,0.5,0.114
0.8,9,0.402,0.588,0.57,0.114
1.0,0,0.562,0.442,0.35,0.312
1.0,1,0.612,0.446,0.32,0.338
1.0,2,0.584,0.47,0.36,0.318
1.0,3,0.554,0.438,0.39,0.358
1.0,4,0.58,0.432,0.36,0.338
1.0,5,0.522,0.42,0.38,0.37
1.0,6,0.552,0.456,0.45,0.334
1.0,7,0.488,0.464,0.43,0.306
1.0,8,0.426,0.446,0.46,0.298
1.0,9,0.408,0.46,0.55,0.35
