gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.578,0.27,0.33,0.524
0.5,1,0.618,0.266,0.3,0.532
0.5,2,0.566,0.252,0.4,0.512
0.5,3,0.58,0.308,0.36,0.524
0.5,4,0.576,0.37,0.41,0.39
0.5,5,0.528,0.506,0.41,0.218
0.5,6,0.564,0.536,0.34,0.118
0.5,7,0.51,0.542,0.42,0.054
0.5,8,0.444,0.562,0.49,0.034
0.5,9,0.414,0.602,0.59,0.012
0.8,0,0.564,0.282,0.35,0.492
0.8,1,0.604,0.296,0.32,0.484
0.8,2,0.572,0.348,0.38,0.428
0.8,3,0.576,0.42,0.37,0.394
0.8,4,0.556,0.408,0.35,0.35
0.8,5,0.55,0.47,0.39,0.29
0.8,6,0.548,0.498,0.39,0.224
0.8,7,0.494,0.504,0.45,0.204
0.8,8,0.462,0.548,0.45,0.152
0.8,9,0.42,0.526,0.54,0.124
1.0,0,0.566,0.366,0.34,0.33
1.0,1,0.608,0.42,0.31,0.33
1.0,2,0.57,0.412,0.39,0.342
1.0,3,0.574,0.4,0.45,0.356
1.0,4,0.584,0.416,0.38,0.32
1.0,5,0.526,0.418,0.42,0.338
1.0,6,0.54,0.428,0.42,0.334
1.0,7,0.492,0.446,0.4,0.334
1.0,8,0.452,0.392,0.44,0.37
1.0,9,0.414,0.446,0.54,0.308
