gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.406,0.44,0.44,0.5
0.5,1,0.51,0.538,0.31,0.338
0.5,2,0.452,0.578,0.39,0.278
0.5,3,0.444,0.59,0.39,0.254
0.5,4,0.416,0.614,0.35,0.214
0.5,5,0.382,0.61,0.45,0.184
0.5,6,0.378,0.602,0.41,0.19
0.5,7,0.338,0.62,0.37,0.188
0.5,8,0.28,0.616,0.39,0.176
0.5,9,0.146,0.66,0.47,0.07
0.8,0,0.418,0.558,0.47,0.322
0.8,1,0.536,0.576,0.26,0.294
0.8,2,0.452,0.588,0.35,0.276
0.8,3,0.424,0.596,0.38,0.26
0.8,4,0.402,0.606,0.32,0.216
0.8,5,0.378,0.598,0.38,0.202
0.8,6,0.388,0.606,0.39,0.214
0.8,7,0.344,0.604,0.38,0.208
0.8,8,0.31,0.624,0.36,0.172
0.8,9,0.126,0.648,0.52,0.144
1.0,0,0.42,0.6,0.45,0.236
1.0,1,0.514,0.59,0.28,0.254
1.0,2,0.448,0.602,0.34,0.218
1.0,3,0.434,0.606,0.38,0.24
1.0,4,0.41,0.596,0.36,0.256
1.0,5,0.37,0.59,0.36,0.234
1.0,6,0.364,0.59,0.38,0.218
1.0,7,0.346,0.612,0.42,0.22
1.0,8,0.302,0.606,0.34,0.224
1.0,9,0.134,0.594,0.47,0.238
