gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
1.0,0,0.5056,0.3232,0.178,0.2788
1.0,1,0.5296,0.3856,0.15,0.1716
1.0,2,0.5304,0.4056,0.184,0.1724
1.0,3,0.5256,0.4164,0.23,0.1648
1.0,4,0.5292,0.4272,0.228,0.1592
1.0,5,0.508,0.4244,0.22,0.1532
1.0,6,0.498,0.4184,0.234,0.1408
1.0,7,0.4972,0.4376,0.246,0.1492
1.0,8,0.4828,0.4152,0.282,0.1636
1.0,9,0.476,0.4032,0.308,0.1792
