gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
0.5,0,0.57,0.202,0.34,0.714
0.5,1,0.618,0.222,0.29,0.674
0.5,2,0.564,0.334,0.35,0.518
0.5,3,0.59,0.536,0.4,0.194
0.5,4,0.574,0.57,0.41,0.074
0.5,5,0.55,0.574,0.42,0.04
0.5,6,0.536,0.584,0.42,0.01
0.5,7,0.496,0.58,0.4,0.008
0.5,8,0.458,0.596,0.49,0.006
0.5,9,0.414,0.594,0.57,0.002
0.8,0,0.574,0.32,0.34,0.534
0.8,1,0.608,0.384,0.29,0.42
0.8,2,0.578,0.47,0.36,0.32
0.8,3,0.576,0.5,0.37,0.264
0.8,4,0.574,0.526,0.33,0.194
0.8,5,0.528,0.546,0.41,0.142
0.8,6,0.55,0.564,0.41,0.112
0.8,7,0.504,0.596,0.38,0.072
0.8,8,0.446,0.578,0.43,0.072
0.8,9,0.4,0.604,0.59,0.032
1.0,0,0.566,0.494,0.32,0.218
1.0,1,0.602,0.5,0.26,0.256
1.0,2,0.572,0.524,0.41,0.204
1.0,3,0.576,0.528,0.38,0.206
1.0,4,0.582,0.504,0.37,0.242
1.0,5,0.552,0.534,0.45,0.208
1.0,6,0.542,0.514,0.43,0.214
1.0,7,0.502,0.536,0.42,0.172
1.0,8,0.444,0.492,0.43,0.216
1.0,9,0.402,0.524,0.49,0.19
