gamma,rank,undefended_acc,defended_acc,undefended_asr,defended_asr
1.0,0,0.5364,0.3916,0.19,0.2172
1.0,1,0.5524,0.4396,0.186,0.1448
1.0,2,0.5476,0.4516,0.186,0.1204
1.0,3,0.534,0.4468,0.234,0.1136
1.0,4,0.528,0.448,0.266,0.1336
1.0,5,0.5072,0.4468,0.278,0.114
1.0,6,0.5024,0.4544,0.294,0.1216
1.0,7,0.4832,0.4584,0.278,0.114
1.0,8,0.4672,0.4596,0.28,0.1092
